DESCRIPCION,MONTO_CONTRATADO,lat,lon
"La necesidad de realizar trabajos relacionados con la construcción de Escalera de fierro para el sector de Otorrinolaringología, Instalación de piso de cerámico de Club Escolar, la Instalación de cortinas en sala de Capacitación MEL y la instalación del sistema de climatización para Capacitación del Hospital Carlos Van Buren.",3531600.0,-33.0503775603735,-71.6114777326584
"La necesidad de realizar trabajos relacionados con la construcción de Escalera de fierro para el sector de Otorrinolaringología, Instalación de piso de cerámico de Club Escolar, la Instalación de cortinas en sala de Capacitación MEL y la instalación del sistema de climatización para Capacitación del Hospital Carlos Van Buren.",1066392.0,-33.0503370926842,-71.6114240884781
"Obras de Mantención Jardines, Fac. de Arquitectura, en virtud del Proyecto UVA-1555",35809820.0,-33.0285672772644,-71.64022564888
"a Este proyecto tiene como objetivo mejorar las condiciones de infraestructura que posee los actuales consultorios Cordillera, Puertas Negras y Padre Damián administrados por la Corporación Municipal de Valparaíso para el desarrollo social, los que se encuentran en la ciudad de Valparaíso.  b El contratista que realice los trabajos deberá cumplir con todas las medidas que aseguren la calidad y las normas de seguridad en las obras, tanto para los trabajadores como en la protección de funcionarios y usuarios del recinto. Además, de desarrollar todas las actividades para dar concreción a esta obra bajo la Ordenanza General de Urbanismo y Construcción y normativas vigentes. c La contratación de la mejora de los consultorios y los requerimientos definidos como especificaciones técnicas deben ser coherentes a lo establecido en las Bases Técnicas, Anexo Nº 1.",18596250.0,-33.0570724586745,-71.6445171833038
"Servicio de Construcción de Auditorio, Salas de Clases y Terraza, Las Heras, en virtud del Proyecto UVA-1555",376819080.0,-33.0525551100496,-71.6026972240627
La necesidad de realizar el Mejoramiento y Mantenimiento de Casino del personal y Central de Alimentación UCA del Hospital Carlos Van Buren,107099611.0,-33.0506968048256,-71.6111397743225
Mejoramiento Espacio Público El Vergel,46354638.99999999,-33.0586415720737,-71.6148734092712
"Servicio de Remodelación Baños, Facultad de Arquitectura, en Virtud del proyecto UVA-1555",23380719.0,-33.0525551100496,-71.6026972240627
"a) Este proyecto tiene como objeto mejorar las condiciones de infraestructuras de los establecimientos educacionales: Escuela San Judas Tadeo (F-305); Escuela Blas Cuevas (D-307) y el Centro Capacitación Laboral (F-335) los cuales se han visto desgastado por el uso y efectos de las condiciones y efectos del tiempo en sus dependencias. b) El contratista que realice los trabajos deberá cumplir con todas las medidas que aseguren la calidad y las normas de seguridad en las obras, tanto para los trabajadores como en la protección de funcionarios y usuarios del recinto. Además, de desarrollar todas las actividades para dar concreción a esta obra bajo la Ordenanza General de Urbanismo y Construcción y normativas vigentes. c) La contratación de las mejoras de cada establecimiento y los requerimientos definidos como especificaciones técnicas deben ser coherentes a lo establecido en las Bases Técnicas, Anexo Nº 1. ",88189076.0,-33.0527471348751,-71.6103350212506
" a) Este proyecto tiene como objeto mejorar las condiciones de infraestructuras de los establecimientos educacionales: Escuela Juan de Saavedra (D-254); la Escuela República del Paraguay (D-249); la Escuela Estado de Israel (E-312); la Escuela Montedónico (E-286) y la Escuela Laguna Verde (G-289) los cuales se han visto desgastado por el uso y efectos de las condiciones y efectos del tiempo, en sus instalaciones. b) El contratista que realice los trabajos deberá cumplir con todas las medidas que aseguren la calidad y las normas de seguridad en las obras, tanto para los trabajadores como en la protección de funcionarios y usuarios del recinto. Además, de desarrollar todas las actividades para dar concreción a esta obra bajo la Ordenanza General de Urbanismo y Construcción y normativas vigentes. c) La contratación de las mejoras de cada establecimiento y los requerimientos definidos como especificaciones técnicas deben ser coherentes a lo establecido en las Bases Técnicas, Anexo Nº 1. ",82298638.0,-33.0381599700423,-71.6441201260022
"Servicio de Construcción y Montaje Sub-Estación y alimentadores Eléctricos, Facultad de Ciencias, en virtud del proyecto UVA-1555 ",73653659.0,-33.0254954160475,-71.6391313076019
Mejoramiento de Multicancha UV 167,55396110.0,-33.0477369888188,-71.6460621356964
Mejoramiento Multicanchas Lomas de Rodelillo,45552195.0,-33.0648120977579,-71.5659230947495
"Servicios de ejecucion obra sala modular de acumulación de residuos Cesfam Jean & Marie Thierry, según bases de Licitación.",13444750.0,-33.0522975060362,-71.6093480587006
"Servicio de Normalización Eléctrica Edificio Torre, Facultad de Ciencias, en virtud del Proyecto UVA-1555.",137425685.0,-33.0525551100496,-71.6026972240627
Construcción Cuartel de Aseo,242980731.00000003,-33.0242248125754,-71.6443213820457
"a Este proyecto tiene como objeto mejorar las condiciones de infraestructuras de los establecimientos educacionales: República de Argentina F-297, Escuela Piloto Pardo F-299 y el Liceo Pedro Montt C-100 los cuales se han visto perjudicado con el ingreso de aguas lluvias a sus distintos recintos, desgaste por el uso y efectos del tiempo. b El contratista que realice los trabajos deberá cumplir con todas las medidas que aseguren la calidad y las normas de seguridad en las obras, tanto para los trabajadores como en la protección de funcionarios y usuarios del recinto. Además, de desarrollar todas las actividades para dar concreción a esta obra bajo la Ordenanza General de Urbanismo y Construcción y normativas vigentes. c La contratación de las mejoras de cada establecimiento y los requerimientos definidos como especificaciones técnicas deben ser coherentes a lo establecido en las Bases Técnicas, Anexo Nº 1.",72110906.0,-33.0334469537855,-71.6412878036499
"a Este proyecto tiene como objeto mejorar las condiciones de infraestructuras de los establecimientos educacionales: Escuela Carabinero Cariaga E-266 y la Escuela República del Salvador D-309 los cuales se han visto desgastado por el uso y efectos de las condiciones y efectos del tiempo. b El contratista que realice los trabajos deberá cumplir con todas las medidas que aseguren la calidad y las normas de seguridad en las obras, tanto para los trabajadores como en la protección de funcionarios y usuarios del recinto. Además, de desarrollar todas las actividades para dar concreción a esta obra bajo la Ordenanza General de Urbanismo y Construcción y normativas vigentes. c La contratación de las mejoras de cada establecimiento y los requerimientos definidos como especificaciones técnicas deben ser coherentes a lo establecido en las Bases Técnicas, Anexo Nº 1.",80630150.0,-33.0448243214117,-71.6501068152138
"Mejoramiento mirador O´Higgins cerro San Roque, Valparaíso.",16466668.0,-33.0747042672844,-71.5844678878784
establecer y definir los procedimientos y materiales para el mejoramiento de la escala San Bernardo la que está ubicada en cerro Ramaditas Valparaíso,6663458.0,-33.0528241003618,-71.5963554382324
"La Junta Nacional de Jardines Infantiles (JUNJI), requiere contratar la Habilitación del Jardín Infantil “Pulgarcito”, código 5801008, el cual se encuentra ubicado en la comuna de Valparaíso Región de Valparaíso.",374240107.0,-33.0453650226102,-71.5828263759613
"Restauración del Ascensor Concepción, específicamente de las estaciones superior e inferior y mejoramiento estructural de sus fundaciones, mejoramiento del plano de rodadura, de los sistemas electromecánicos y de las instalaciones en general. Además la habilitación del espacio público del entorno de los accesos.",1484191323.0,-33.04075921656,-71.6263720393181
"Consiste en la ampliación del Edificio Esmeralda De La Dirección Nacional De Aduanas. Este proyecto será ejecutado en el terreno colindante al actual edificio de oficinas, ubicado en Calle Esmeralda. Son cinco niveles de una superficie promedio de 200 mts2 cada uno. El edificio utilizará materiales como acero, hormigón y vidrio. Ademas se recuperara una de las fachadas ornamentales existentes.",1618682708.0000002,-33.0406243094581,-71.6261266171932
Construcción Casa Verde,22526977.0,-33.0821928956048,-71.6558468341827
"Reparación temchumbre y pintura de oficinas, edificio Consistorial Municipalidad de Valparaíso",8363500.0,-33.046223516416,-71.6219061613083
"Restauración de las estaciones superior e inferior y mejoramiento estructural de sus fundaciones, mejoramiento del plano de rodadura , de los sistemas electromecánico, de los carros y de las instalaciones en general, además de la habilitación del espacio público del entorno de los accesos.",1483767818.0,-33.037792764,-71.630196699
"La necesidad del Servicio de Salud-Valparaíso San Antonio de contratar la ejecución de las obras “Mejoramiento Servicio de medicina Fisica y Rehabilitacion del HCVB”, código BIP 30134093-0.",579353297.0,-33.0525551100496,-71.6026972240627
REALIZAR REPARACIÓN DE TECHUMBRES ,58819358.0,-33.0435208224358,-71.601690351963
"conservación de estructuras que actualmente se encuentran en avanzado estado de deterioro y también otras a las que se hace imprescindible tratarlas para otorgarles mayor vida útil (escaños de hormigón, pintura barandas, sombreaderos de madera, entre otros)",337645296.0,-33.035708896,-71.5994972999999
La necesidad del Servicio de Salud Valparaíso - San Antonio de contratar la ejecución de las obras del Proyecto Término Obras Habilitación Unidad Cuidados Medios HCVB Código BIP Nº 30121782-0.,540896361.0,-33.0525551100496,-71.6026972240627
"Restauración del Ascensor Espíritu Santo, específicamente de las estaciones superior e inferior y mejoramiento estructural de sus fundaciones, mejoramiento del plano de rodadura, de los sistemas electromecánicos y de las instalaciones en general. Además la habilitación del espacio público del entorno de los accesos.",1287762626.0000002,-33.047863196,-71.6213740429999
"CONSERVACIÓN RETIRO SOMBREADERO Y VIGAS LAMINADAS SECTOR TERRAZA CALETA PORTALES, La presente obra de Conservación se refiere a los trabajos de retiro del actual sombreadero que da hacia la explanada de varado existente. Junto a esto se contempla la reubicacion y habilitación eléctrica de los focos de iluminación y comunicación hacia la zona del pasillo de transito peatonal y explanada",165392150.0,-33.0311136569999,-71.5902424479999
"Las obras a ejecutar corresponden a la conservación de las estructuras del paseo mediante la adecuación de los decks de madera, colocación de enrocados de protección y construcción de muros de hormigón armado y reposición de pavimentos",588004902.0,-33.035049354,-71.5983706759999
"CONSERVACIÓN INFRAESTRUCTURA DE APOYO MOP - REGIÓN DE VALPARAISO, EN DEPENDENCIAS VIALIDAD PROVINCIAL VALPARAÍSO, UBICADA EN CALLE FREIRE, COMUNA DE VALPARAÍSO",34999999.0,-33.0432179169999,-71.623806922
CONSERVACION TERRAZA POLIDEPORTIVO RENATO RAGGIO,31875000.0,-33.0208177057859,-71.6404455900192
"CONECTIVIDAD DE LOS BARRIOS AFECTADOS POR EL INCENDIO ABRIL 2014, PROYECTO CONSERVACIÓN CALLE RUIZ TAGLE ENTRE LAMBECHO Y LIRCAY, CERRO EL LITRE, COMUNA DE VALPARAÍSO",76210224.0,-33.0525551100496,-71.6026972240627
CONSERVACIÓN CANAL DE AGUAS LLUVIAS CANCHA FÚTBOL ESTADIO O´HIGGINS,7904000.0,-33.0599330348265,-71.5939991176128
"Realizar reparaciones en el establecimiento C-100 Liceo Pedro Montt de Valparaíso localizado en Av. Alemania 5196, Cerro Cárcel, Valparaíso, los cuales constan de trabajos específicos.",129520000.0,-33.0480390442671,-71.631572842598
"REALIZAR REPARACIONES, MANTENCIÓN Y MEJORAS EN EL LICEO BARÓN ",28905361.0,-33.0403634884754,-71.602036356926
CONSERVACIÓN PUERTAS EMERGENCIA POLIDEPORTIVO RENATO RAGGIO,7226300.0,-33.0206962613762,-71.6406118869781
"Mejoramiento del espacio público y de circulación. Aceras, incorporación de áreas verdes, instalación de barandas , mejoramiento sistema de aguas lluvias, iluminación y equipamiento mobiliario urbano",164547054.0,-33.0543311007281,-71.6153830289841
Instalación de Resaltos Reductores de Velocidad,51560998.0,-33.0449071558255,-71.6223835945129
"El proyecto consulta la rehabilitación de un edificio de carácter histórico, de 1.079,80 m2 , construidos en 3 plantas, para dar cabida al programa del Museo del Grabado de Valparaíso, emplazado en la Zona Típica de los Cerros Alegre y Concepción, contenida en el Área Histórica de Valparaíso. La intervención se realizará con criterios arquitectónicos respetando el valor patrimonial del inmueble.",1686934121.0000002,-33.042891136,-71.6290817769999
Trabajos de protección costera con enrocados en una de las laderas erosionadas por efecto del mar y aguas lluvias en el sector de Plaza Punta Ángeles de Valparaíso,212436715.0,-33.0217056459999,-71.647270706
"Realizar reparaciones en el establecimiento América D-262 localizado en calle Panamá #268, Playa Ancha, Valparaíso, los cuales constan de trabajos específicos nombrados en el punto 3 de las Bases Técnicas. ",46442104.00000001,-33.0402578107884,-71.6457831859589
REPARACIÓN DE LA TERRAZA ,19041610.0,-33.0473109298904,-71.6035008430481
Las especificaciones se refieren a la reparación y actualización de infraestructura para el Fortín Prat. El Estadio se ubica en la calle Rawson 382 en el barrio El Almendral en Valparaíso.,35244495.0,-33.0472614938858,-71.6070225834846
"ADECUACIÓN EDIFICIO LA PALMA DE ESCUELA URUGUAY PARA ESCUELA GRAN BRETAÑA.  El proyecto consiste en la adecuación del edificio la Palma de la escuela Uruguay para recibir a la Escuela Especial Gran Bretaña. La intervención corresponde a la habilitación de nuevos baños, tabiquería para salas y cierre de mallas 3d.",63505783.00000001,-33.0458578626699,-71.602564752102
"El proyecto consiste en la habilitación del área de cocina y comedor de alumnos en el área de actual comedor de profesores ubicada en el primer piso del establecimiento, incorporando servicios higiénicos existentes en área exterior colindante, para complementar requerimiento normativo.",43206210.0,-33.0457561152706,-71.6025459766388
CONSERVACIÓN PINTURA DE DEMARCACIÓN PISTA ATLÉTICA ESTADIO ELIAS FIGUEROA,11042000.0,-33.0220501266117,-71.64022564888
CONSERVACIÓN ILUMINACIÓN CANCHA N° 1 ALEJO BARRIOS II,16806723.0,-33.0241326087788,-71.6399708390236
"Construcción de una edificación destinada a una sede vecinal de la organización Junta de vecinos UV N112 Manuel Río Frío, Playa Ancha, comuna de Valparaíso.",77480070.0,-33.0296781582542,-71.642918586731
"Restauración de las estaciones superior e inferior y mejoramiento estructural de sus fundaciones, mejoramiento del plano de rodadura , de los sistemas electromecánico, de los carros y de las instalaciones en general.",3064626883.0,-33.030444003,-71.6306575419999
